id,name,party,sector,country
ul,Ursula von der Leyen,CDU,Politk,Deutschland
lk,Lars Klingbeil,SPD,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,DieLinke,Politik,Deutschland
500,Folge 500,,,
cl,Christian Lindner,FDP,Politik,Deutschland
501,Folge 501,,,
ab,Annalena Baerbock,DieGruenen,Politik,Deutschland
al,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
502,Folge 502,,,
rh,Robert Habeck,DieGruenen,Politik,Deutschland
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
503,Folge 503,,,
ct,Christine Lambrecht,SPD,Poltik,Deutschland
504,Folge 504,,,
os,Olaf Scholz,SPD,Politik,Deutschland
505,Fogle 505,,,
ms,Markus Söder,CSU,Politik,Deutschland
mb,Marieluise Beck,DieGruenen,Politik,Deutschland
506,Folge 506,,,
se,Saskia Esken,SPD,Politik,Deutschland
mz,Marie-Agnes Strack-Zimmermann,FDP,Politik,Deutschland
jw,Johann David Wadephul,CDU,Politik,Deutschland
507,Folge 507,,,
kk,Kevin Kühnert,SPD,Politik,Deutschland
bh,Britta Haßelmann ,DieGruenen,Politik,Deutschland
rp,Ruprecht Polenz,CDU,Politik,Deutschland
508,Folge 508,,,
